batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
82,1,1.1531257629394531,0.9689714908599854,514,0,0,514,0,27,27,0.0,0.0,0.00013655,0.0001028,3.375e-05,0
83,1,1.3089780807495117,1.1631624698638916,435,0,0,435,0,27,27,0.0,0.0,0.00012075,8.7e-05,3.375e-05,0
84,1,0.9412386417388916,0.7537636756896973,400,0,0,400,0,27,27,0.0,0.0,0.00011375,8e-05,3.375e-05,0
85,1,0.857982873916626,0.6468017101287842,406,0,0,406,0,27,27,0.0,0.0,0.00011495,8.12e-05,3.375e-05,0
86,1,1.0053699016571045,0.7601799964904785,341,0,0,341,0,26,26,0.0,0.0,0.0001007,6.82e-05,3.25e-05,0
87,1,1.1901073455810547,0.9756186008453369,461,0,0,461,0,27,27,0.0,0.0,0.00012595,9.22e-05,3.375e-05,0
88,1,1.0649981498718262,0.8510432243347168,407,0,0,407,0,27,27,0.0,0.0,0.00011515,8.14e-05,3.375e-05,0
89,1,0.9313900470733643,0.7297084331512451,397,0,0,397,0,27,27,0.0,0.0,0.00011315,7.94e-05,3.375e-05,0
90,1,0.8789916038513184,0.6795578002929688,436,0,0,436,0,27,27,0.0,0.0,0.00012095,8.72e-05,3.375e-05,0
91,1,0.7683475017547607,0.6181271076202393,394,0,0,394,0,27,27,0.0,0.0,0.00011255,7.88e-05,3.375e-05,0
92,1,0.9758932590484619,0.7673330307006836,415,0,0,415,0,27,27,0.0,0.0,0.00011675,8.3e-05,3.375e-05,0
93,1,0.9193217754364014,0.7113893032073975,564,0,0,564,0,27,27,0.0,0.0,0.00014655,0.0001128,3.375e-05,0
94,1,0.8921661376953125,0.6877214908599854,428,0,0,428,0,27,27,0.0,0.0,0.00011935,8.56e-05,3.375e-05,0
95,1,0.9310383796691895,0.7555227279663086,289,0,0,289,0,26,26,0.0,0.0,9.03e-05,5.78e-05,3.25e-05,0
96,1,0.8458366394042969,0.6813900470733643,456,0,0,456,0,27,27,0.0,0.0,0.00012495,9.12e-05,3.375e-05,0
97,1,0.8930683135986328,0.6791906356811523,488,0,0,488,0,27,27,0.0,0.0,0.00013135,9.76e-05,3.375e-05,0
98,1,0.8891522884368896,0.7143287658691406,578,0,0,578,0,27,27,0.0,0.0,0.00014935,0.0001156,3.375e-05,0
99,1,1.0366592407226562,0.664677619934082,333,0,0,333,0,27,27,0.0,0.0,0.00010035,6.66e-05,3.375e-05,0
100,1,1.0394256114959717,0.6959781646728516,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
