batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
85,1,1.3498437404632568,1.15504789352417,661,0,0,661,0,24,24,0.0,0.0,0.000781,0.000661,0.00012,0
86,1,1.172241449356079,1.0467948913574219,596,0,0,596,0,23,23,0.0,0.0,0.000711,0.000596,0.000115,0
87,1,1.1325199604034424,0.9380326271057129,716,0,0,716,0,24,24,0.0,0.0,0.000836,0.000716,0.00012,0
88,1,1.393026351928711,1.282848596572876,680,0,0,680,0,24,24,0.0,0.0,0.0008,0.00068,0.00012,0
89,1,0.9511523246765137,0.8389022350311279,657,0,0,657,0,24,24,0.0,0.0,0.000777,0.000657,0.00012,0
90,1,0.9743170738220215,0.7841701507568359,711,0,0,711,0,24,24,0.0,0.0,0.000831,0.000711,0.00012,0
91,1,1.295281171798706,1.1437828540802002,645,0,0,645,0,24,24,0.0,0.0,0.000765,0.000645,0.00012,0
92,1,13.108497142791748,12.99396276473999,687,0,0,687,0,24,24,0.0,0.0,0.000807,0.000687,0.00012,0
93,1,1.1020739078521729,0.9377222061157227,859,0,0,859,0,24,24,0.0,0.0,0.000979,0.000859,0.00012,0
94,1,0.977271318435669,0.8297038078308105,682,0,0,682,0,24,24,0.0,0.0,0.000802,0.000682,0.00012,0
95,1,0.9401607513427734,0.7988991737365723,543,0,0,543,0,23,23,0.0,0.0,0.000658,0.000543,0.000115,0
96,1,1.0099554061889648,0.8434445858001709,717,0,0,717,0,24,24,0.0,0.0,0.000837,0.000717,0.00012,0
97,1,1.1265430450439453,0.9605307579040527,750,0,0,750,0,24,24,0.0,0.0,0.00087,0.00075,0.00012,0
98,1,1.1317713260650635,1.0002801418304443,852,0,0,852,0,24,24,0.0,0.0,0.000972,0.000852,0.00012,0
99,1,1.912285566329956,1.7973010540008545,588,0,0,588,0,24,24,0.0,0.0,0.000708,0.000588,0.00012,0
100,1,1.1209304332733154,0.946265697479248,519,0,0,519,0,24,24,0.0,0.0,0.000639,0.000519,0.00012,0
