run_id,batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
,84,all_fields,1,"XLITECHNOLOGIES,INC_12_02_2015-EX-10.02-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",15.208394050598145,0.9130723476409912,3380,0,1959,3380,0,1095,1095,0.0,0.0,0.02803425,0.01160925,0.016425
,85,all_fields,1,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement__Document Name_0,47.070969104766846,1.5572419166564941,12972,0,1960,12972,0,2382,2382,0.0,0.0,0.076116,0.040386,0.03573
,86,all_fields,1,EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement__Document Name_0,22.686561107635498,0.9052817821502686,6350,0,1959,6350,0,1328,1328,0.0,0.0,0.04043925,0.02051925,0.01992
,87,all_fields,1,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2__Document Name_0,7.507972002029419,0.8631100654602051,2739,0,1958,2739,0,654,654,0.0,0.0,0.0194955,0.0096855,0.00981
,88,all_fields,1,XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT__Document Name_0,29.180150270462036,1.3159282207489014,13724,0,1959,13724,0,1547,1547,0.0,0.0,0.06584625,0.04264125,0.023205
,89,all_fields,1,DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT__Document Name_0,37.3346643447876,1.023758888244629,10598,0,1958,10598,0,2147,2147,0.0,0.0,0.0654675,0.0332625,0.032205
,90,all_fields,1,ReedsInc_20191113_10-Q_EX-10.4_11888303_EX-10.4_Development Agreement__Document Name_0,37.34543561935425,1.1466093063354492,8203,0,1957,8203,0,2004,2004,0.0,0.0,0.05613675,0.02607675,0.03006
,91,all_fields,1,FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement__Document Name_0,41.34309458732605,1.2067492008209229,9733,0,1958,9733,0,1974,1974,0.0,0.0,0.0602775,0.0306675,0.02961
,92,all_fields,1,SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0,44.09038996696472,0.8422250747680664,11111,0,1960,11111,0,2061,2061,0.0,0.0,0.065718,0.034803,0.030915
,93,all_fields,1,"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT__Document Name_0",42.212724924087524,2.6795387268066406,9176,0,1958,9176,0,2001,2001,0.0,0.0,0.0590115,0.0289965,0.030015
,94,all_fields,1,DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT__Document Name_0,34.315547943115234,1.0008699893951416,7613,0,1959,7613,0,1791,1791,0.0,0.0,0.05117325,0.02430825,0.026865
,95,all_fields,1,VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT__Document Name_0,49.25265145301819,4.686544418334961,17256,0,1962,17256,0,2380,2380,0.0,0.0,0.0889395,0.0532395,0.0357
,96,all_fields,1,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement__Document Name_0,69.99242734909058,1.7068161964416504,20440,0,1960,20440,0,3462,3462,0.0,0.0,0.11472,0.06279,0.05193
,97,all_fields,1,IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT__Document Name_0,38.46809935569763,1.0785396099090576,7288,0,1959,7288,0,2214,2214,0.0,0.0,0.05654325,0.02333325,0.03321
,98,all_fields,1,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Document Name_0,84.46273350715637,2.1060240268707275,36121,0,1957,36121,0,3930,3930,0.0,0.0,0.16878075,0.10983075,0.05895
,99,all_fields,1,AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,54.568782329559326,1.1657917499542236,12221,0,1961,12221,0,3029,3029,0.0,0.0,0.08356875,0.03813375,0.045435
,100,all_fields,1,GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement__Document Name_0,33.272252321243286,1.119340419769287,6363,0,1959,6363,0,1686,1686,0.0,0.0,0.04584825,0.02055825,0.02529
